filename;num_live_knots;max_width_live_knots;num_dead_knots;max_dia_dead_knots;max_width_dead_knots;max_width_knot_collection;num_resin;num_resin_bigger_20;num_resin_bigger_80;overgrown_bool;overgrown_area;marrow_bool;blue_stain_area;rot_bool;rot_area;crack_max_dia
2024_10_04-B11.28.1.bmp;1;0.31;;;;;;;;;;;0.05;1;703.83;
2024_08_29-I15.18.1.bmp;3;0.74;;;;1.73;;;;;;;;;;
2024_10_04-B5.40.1.bmp;2;0.07;;;;0.12;;;;;;;0;1;2466.9;
2024_10_04-B9.17.2.bmp;2;0.37;1;15.18;0.11;0.75;;;;;;;0.3;;;5.32
2024_10_04-11.29.1.bmp;1;0.14;;;;;;;;;;;0;;;
2024_10_03-1.24.2.bmp;2;0.21;;;;0.34;;;;;;;;;;
2024_10_04-B10.26.1.bmp;;;;;;;;;;;;;;;;
2024_08_27-S10.9.2.bmp;;;;;;;;;;;;;;;;
2024_08_29-I13.5.2.bmp;5;0.26;;;;0.88;;;;;;;;1;9.25;
2024_08_27-I2.19.2.bmp;8;0.13;;;;0.64;1;0;0;;;;0;;;
2024_10_03-5.27.1.bmp;3;0.14;;;;0.28;;;;;;;;;;
2024_10_04-B9.13.1.bmp;2;0.24;;;;0.3;;;;;;;;;;
2024_08_27-S12.3.1.bmp;;;;;;;;;;;;;0.03;;;
2024_10_04-B7.37.2.bmp;;;1;14.45;0.12;;;;;;;;;;;
2024_08_27-I7.2.1.bmp;2;0.29;1;7.33;0.07;0.61;;;;;;;;;;
2024_08_29-IB1.1.2.bmp;1;0.29;;;;;;;;;;;0.94;1;608.97;
2024_08_27-S2.14.1.bmp;2;0.08;;;;0.13;;;;;;;;;;
2024_11_15-N1.11.2.bmp;;;;;;;;;;;;;;1;309.1;
2024_11_15-N4.31.2.bmp;;;;;;;1;1;0;;;;;;;
2024_10_04-B3.37.1.bmp;1;0.24;1;6.39;0.06;0.3;;;;;;;0.02;;;
2024_10_04-B13.37.1.bmp;;;1;5.56;0.05;;;;;;;;0.09;;;
2024_08_27-I4.3.1.bmp;2;0.24;;;;0.47;;;;;;;0;;;
2024_08_27-S4.1.1.bmp;;;1;8.49;0.08;;1;1;0;;;;0;;;
2024_08_27-S8.10.1.bmp;;;;;;;;;;;;;;;;
2024_10_03-4.29.1.bmp;5;0.39;;;;1.03;;;;;;;;1;179.32;
2024_11_15-N1.28.1.bmp;;;;;;;;;;;;;0;1;279.58;
2024_11_15-N1.32.2.bmp;1;0.08;1;5.48;0.05;0.12;;;;;;;;1;210.11;
2024_10_03-7.36.1.bmp;;;1;6.91;0.06;0.06;;;;;;;;1;4699.22;
2024_10_03-3.35.1.bmp;1;0.17;;;;0.17;;;;;;;;;;
2024_10_04-B8.19.2.bmp;;;1;10.77;0.1;;;;;;;;;;;
2024_10_04-B13.32.2.bmp;;;1;9.68;0.08;;;;;;;;;;;
2024_10_04-B4.31.2.bmp;;;;;;;1;1;0;1;8.71;;0.55;;;
2024_10_04-B4.10.2.bmp;1;0.37;1;5.8;0.05;0.42;;;;;;;0;;;
2024_10_03-4.21.2.bmp;2;0.26;1;6.41;0.06;0.39;;;;;;;0;1;212.11;
2024_11_15-N4.1.2.bmp;;;;;;;1;1;0;;;;;;;
2024_10_04-B1.15.2.bmp;;;;;;0;;;;;;1;0;1;517.38;
2024_10_03-8.20.2.bmp;1;0.28;;;;;;;;;;;;1;560.91;
2024_10_04-B2.19.1.bmp;2;0.17;;;;0.34;;;;;;;0;;;
2024_10_04-F4.5.1.bmp;;;;;;;;;;;;;;1;5839.74;
2024_08_27-I9.17.2.bmp;2;0.25;1;5.64;0.05;0.46;;;;;;;;;;25.47
2024_10_03-2.16.2.bmp;4;0.19;1;14.61;0.13;0.59;;;;;;;;1;55.41;
