"sample_name","Quality","Quality_Factor","Density","MOE","MOR","PrePD","PostPD","max_knot","knot_decisive"
"I21.21",2,"2",453.365,11.23496462,81.33309078,11.45999908,8.005367279,12,1
"I21.22",1,"1",436.89,10.25333523,81.80229467,15.67998886,3.382318497,0,NA
"I21.23",1,"1",450.253,11.22685967,81.4560088,11.29999876,6.208332062,8,NA
"I21.24",1,"1",396.953,8.491078812,66.69342537,11.75998354,0.06001091,0,NA
"I21.25",1,"1",439.917,11.29387322,77.98950367,13.91999388,5.522159576,0,NA
"I21.26",1,"1",391.076,8.497597079,63.09552399,12.16000223,6.778162003,0,NA
"I21.27",1,"1",440.663,11.53433362,81.91349344,15.97998428,3.800006866,9,NA
"I21.28",2,"2",439.447,10.37830745,74.15092796,9.380008698,0.379987717,13,1
"I21.29",1,"1",376.939,6.196929724,53.59887379,9.460001469,0,21,1
"I21.3",1,"1",397.391,8.568906457,68.80607435,14.82001352,7.350244522,0,NA
"I21.30",1,"1",445.778,10.70084209,76.73863321,10.1200161,5.234685898,5,NA
"I21.31",2,"2",450.647,11.86430677,83.60620801,14.92000341,4.340007782,15,1
"I21.32",3,"3",484.829,7.148563036,71.94484643,9.460021019,0,0,NA
"I21.33",1,"1",466.886,10.69592957,77.11612828,6.420014381,12.32215023,9,1
"I21.34",1,"1",466.598,11.24181218,86.43698177,14.28000736,6.81029892,8,NA
"I21.35",1,"1",459.711,10.9418768,79.22232664,8.579975128,13.83094311,0,NA
"I21.36",1,"1",458.9,10.7433488,82.84989971,13.01998854,6.316999435,0,NA
"I21.37",1,"1",429.35,10.48386057,74.83364243,11.16001081,7.400003433,9,NA
"I21.38",2,"2",439.438,10.5344947,61.1725237,4.020004749,2.500038147,27,1
"I21.39",1,"1",454.793,11.15227897,80.89923975,11.57999468,5.584543228,9,NA
"I21.4",1,"1",406.889,9.506734933,71.34172017,9.639987946,1.040018082,0,NA
"I21.40",2,"2",442.133,10.73159876,70.82710516,11.28000689,6.605619431,14,1
"I21.5",1,"1",428.019,10.19766286,73.13160031,9.760019302,3.960002899,0,NA
"I21.6",1,"1",378.75,7.927345181,61.72663,8.939998627,1.544561386,0,NA
"I21.7",1,"1",385.624,8.216710788,63.87405792,11.23998499,0,0,NA
"I21.8",1,"1",368.439,7.328019688,60.6731321,14.78000021,2.659986496,8,NA
"I21.9",1,"1",381.19,6.709634872,56.88574966,7.239985943,9.008138657,8,NA
"I22.10",1,"1",426.408,9.564431067,74.09031324,15.7800169,10.6033535,0,NA
"I22.11",3,"3",429.536,8.784364755,63.88229907,11.83999872,13.12576294,0,NA
"I22.12",1,"1",408.914,10.09837133,69.55860549,11.85998154,4.277755737,7,NA
"I22.13",1,"1",410.405,10.0253881,70.71088795,13.60001612,4.911237717,0,NA
"I22.14",2,"2",413.578,9.339533447,61.00956721,7.199999809,4.409945488,10,1
"I22.15",1,"1",414.566,9.610370597,66.25940542,6.579984188,5.397994995,5,NA
"I22.16",2,"2",407.121,9.301356882,68.49443097,10.61998224,1.980010986,0,1
"I22.17",1,"1",461.349,11.96613762,85.925161,14.10000324,8.039989471,7,NA
"I22.18",1,"1",459.41,11.17621642,85.89632401,12.91998625,8.649383545,10,NA
"I22.19",1,"1",454.199,11.15039836,86.76505578,16.0000124,6.357746124,7,NA
"I22.2",1,"1",445.704,6.581441685,65.03524934,8.520017624,0,0,NA
"I22.20",1,"1",459.491,10.80959119,87.48176838,15.03998947,7.119346619,0,NA
"I22.21",2,"2",409.452,7.827769051,61.98175965,7.019999504,0,14,NA
"I22.22",1,"1",454.674,10.80437841,79.76595897,11.84000635,6.765222549,0,NA
"I22.23",1,"1",457.106,11.04913075,79.70292874,15.49999428,2.619977951,0,NA
"I22.24",1,"1",454.907,10.39570241,80.02993794,13.61998892,0,0,NA
"I22.25",1,"1",461.323,10.45023221,79.06582428,10.76001358,0.019975662,6,NA
"I22.26",1,"1",403.239,7.211271904,69.30565776,13.26001453,0,0,NA
"I22.27",1,"1",402.444,6.821273076,67.27462768,11.40000153,0,0,NA
"I22.28",1,"1",397.015,7.014585412,63.94553251,11.10000515,0,0,NA
"I22.29",1,"1",382.579,7.423755491,45.13910158,1.880024433,0,0,NA
"I22.3",1,"1",488.002,10.46180758,86.96242334,12.32001925,0,0,NA
"I22.30",2,"2",396.174,7.278795453,60.57094547,13.47998333,0,5,1
"I22.31",1,"1",430.464,8.683948791,73.09411147,14.2799921,0,15,NA
"I22.32",1,"1",408.151,9.823024682,73.49438665,17.23999691,2.772573471,0,NA
"I22.33",1,"1",394.394,9.369676325,69.45773883,12.69998407,1.60002327,0,NA
"I22.34",1,"1",445.913,9.973606123,73.48579281,9.999992371,8.954242706,7,NA
