"sample_name","Density","MOE","MOR","PrePD","PostPD","Quality","quality_experts"
"5.23.1",444.666,8.602376895,63.71175618,8.780028343,0.319993973,"3","2"
"6.19.2",514.416,8.70288237,63.94673544,6.71998167,1.035508156,"3","2"
"6.27.1",402.633,8.553272494,59.18605172,6.959984779,4.660006523,"2","1"
"6.5.1",475.438,8.439266116,55.32375191,4.640006542,2.480004311,"3","2"
"6.7.2",467.348,2.461888002,11.24081792,0.660002232,0,"3","2"
"7.22.2",412.419,6.976324603,48.01318262,6.199983597,2.511763573,"2","3"
"7.23.2",460.08,9.358762723,69.3942876,9.779990673,0,"3","2"
"7.26.1",460.515,2.268844095,11.46529085,0,1.040019512,"3","2"
"7.34.2",424.595,7.663540917,61.72073821,9.720016479,0,"1","1"
"7.35.1",424.804,7.399634744,57.05320316,10.7600112,0,"3","2"
"8.10.2",383.067,7.052115245,55.67455908,8.339993954,2.019990921,"1","1"
"8.17.1",429.419,8.264404605,63.78898453,10.88000059,0.04001236,"1","1"
"8.25.2",399.423,8.452415094,50.37485576,3.819975853,2.840022087,"3","2"
"8.4.2",398.647,6.26705373,54.60879998,10.39998388,0,"2","2"
"9.28.2",407.629,9.074229973,66.06906792,13.54001045,0,"1","1"
"A1.1.2",460.565,7.4020936,36.30062693,0,5.799996853,"3","2"
"A3.1.2",478.837,8.924753339,71.69796118,8.094577789,0,"3","3"
"A3.14.1",468.757,4.884385359,33.28120256,0,0,"3","2"
"B1.14.2",410.328,9.240044911,63.94448895,14.48001528,1.032018661,"2","1"
"B1.15.2",459.717,5.743908487,45.5967021,6.699994564,2.120005608,"3","2"
"B1.3.1",423.93,7.80340173,61.13536599,9.25999403,1.700006485,"2","2"
"B1.30.2",410.9,7.319629905,55.06226804,4.840010643,0,"2","1"
"B1.35.2",398.425,7.569139495,44.63131842,7.500010967,2.97999382,"2","2"
"B1.4.1",400.641,8.733178011,63.38235151,14.61999893,0,"1","1"
"B1.40.1",442.559,8.308776309,57.65730746,4.20000267,2.432959557,"3","3"
"B10.13.2",482.147,7.532057829,46.97659856,2.700018406,0,"2","1"
"B10.2.2",451.929,6.288325549,29.91422916,3.180001736,1.79999733,"1","1"
"B10.28.2",381.626,6.176023273,40.45350461,5.440010071,0.119992256,"3","2"
"B11.25.2",436.675,9.076928477,69.33834479,14.6199975,0,"2","2"
"B11.34.2",433.801,6.087537764,35.90472376,1.840001583,0.020008087,"3","2"
"B11.8.1",424.651,8.683291649,53.41669201,4.479989052,0,"2","2"
"B12.2.1",408.194,9.243078875,62.92124248,10.82001305,1.067264557,"2","1"
"B12.23.1",471.622,8.40326062,56.12576605,4.779973507,0,"3","2"
"B12.31.1",375.305,8.274895059,55.7453355,7.880024433,1.762008667,"3","3"
"B13.9.1",360.639,8.305804801,54.42733673,8.860013962,7.58776474,"1","1"
"B14.2.1",372.145,7.687627001,48.69581638,5.659991264,7.8799963,"3","3"
"B2.12.1",421.923,8.404487591,58.82227438,8.939996243,1.629776001,"3","3"
"B2.29.1",376.568,8.07457979,49.53468353,3.920004845,6.889353752,"3","3"
"B2.40.2",415.736,8.479646119,60.58471193,9.199976921,1.180019379,"2","1"
"B3.17.2",399.921,9.32755023,62.54338004,10.20002937,1.780557632,"2","1"
